Window_Start,Window_End,Mean,Std_Dev,Mode,Skewness,Kurtosis
0,999,-80.54,3.78,-81,-0.68,-0.74
1000,1999,-79.39,0.92,-80,0.86,-1.26
2000,2999,-79.96,1.42,-81,0.64,-1.58
3000,3999,-80.25,0.44,-80,-1.13,-0.72
4000,4999,-80.94,0.25,-81,3.53,10.45
5000,5999,-80.44,1.05,-80,-0.18,-1.17
6000,6999,-80.8,0.95,-80,-1.28,0.82
7000,7999,-82.16,0.81,-83,0.29,-1.41
8000,8999,-81.43,0.5,-81,-0.28,-1.92
9000,9999,-81.75,1.39,-82,-0.46,-0.92
10000,10999,-82.63,1.42,-82,-0.63,-0.87
11000,11999,-83.47,1.65,-83,-0.12,-0.81
12000,12999,-83.0,1.32,-83,0.0,-0.69
13000,13999,-81.83,4.52,-81,-0.19,-0.04
14000,14999,-77.53,2.74,-73,0.55,-0.89
15000,15999,-73.75,5.45,-81,-0.06,-1.17
16000,16999,-74.5,2.97,-78,-0.25,-1.77
17000,17999,-73.37,6.21,-80,0.1,-1.78
18000,18999,-80.4,6.87,-89,0.02,-1.7
19000,19999,-76.15,7.89,-70,-0.42,-1.19
20000,20999,-85.13,2.47,-82,0.19,-1.35
21000,21999,-80.64,6.43,-72,-0.36,-0.82
22000,22999,-81.32,4.04,-77,-0.55,-0.93
23000,23999,-83.76,5.65,-91,0.13,-1.44
24000,24999,-86.81,6.27,-82,-0.64,-1.23
25000,25999,-82.3,1.62,-84,0.19,-1.54
26000,26999,-83.7,2.62,-82,-0.94,-0.91
27000,27999,-86.35,4.87,-88,0.51,-1.31
28000,28999,-88.37,3.8,-89,-0.02,-1.03
29000,29999,-80.99,6.14,-90,-0.11,-1.18
30000,30999,-72.14,1.38,-74,0.12,-1.22
31000,31999,-73.3,2.09,-76,-0.1,-1.49
32000,32999,-72.32,2.88,-76,-0.29,-1.6
33000,33999,-69.86,1.27,-69,-0.58,-0.73
34000,34999,-71.05,1.23,-71,-0.16,-0.54
35000,35999,-74.99,6.22,-69,-0.57,-1.21
36000,36999,-78.6,4.82,-75,-0.67,-1.45
37000,37999,-89.57,3.11,-93,-0.08,-1.79
38000,38999,-85.16,3.7,-88,0.34,-1.72
39000,39999,-86.59,3.18,-86,-2.33,4.34
40000,40999,-87.56,5.4,-82,-0.46,-1.45
41000,41999,-92.76,3.59,-95,0.33,-0.94
42000,42999,-88.78,3.14,-90,-1.21,2.16
43000,43999,-90.02,2.85,-87,-0.16,-1.6
44000,44999,-90.15,1.65,-89,-0.7,-1.26
45000,45999,-92.73,1.94,-91,-0.74,-0.96
46000,46999,-90.54,4.26,-93,0.98,-0.88
47000,47999,-88.07,3.46,-92,0.13,-1.83
48000,48999,-89.92,1.1,-90,0.82,-0.67
49000,49999,-90.73,1.64,-89,-0.14,-1.61
50000,50999,-91.18,2.61,-89,-0.68,-1.39
51000,51999,-91.64,1.17,-91,-1.46,0.56
